name,slug,description,benefits,eligibility_criteria,application_process,documents_required,official_link,level,status,source,target_gender,min_age,max_age,target_social_category,target_income_max,is_disability,is_student,is_bpl,featured,benefit_type,helpline,launch_date,application_deadline
Beej Masaale Ki Yojana,bmky,"The scheme aims to encourage the farmers to cultivate identified seed spices such as coriander and fenugreek keeping in mind their medicinal and nutritional properties.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Beej Swalamban Yojna,bsyrj,Mukhyamantri Beej Swavalamban Yojana was started in the year 2017-18 with the objective of producing quality improved seeds on their farms for their own use by the farmers.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Bee Keeping,bk,"The scheme aims to promote beekeeping as a sustainable livelihood by providing subsidized bee boxes, bee colonies, and training support to farmers, thereby increasing honey production, enhancing farm income, and strengthening the beekeeping sector in Uttarakhand.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Bhausaheb Fundkar Falbag Lagvad Scheme,bhausaheb-fundkar-horticulture-plantataion-scheme,"This scheme includes, Plantation of sixteen perennial horticulture crops. Farmer from Konkan division can avail benefit of 0.10 Hector  to 10.00 Hector  and rest Of Maharashtra 0.20 Hector  to 6.00 Hector  ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Bhavantar Bharpai Yojana,bvby,"The scheme is implemented by the Department of Horticulture, Government of Haryana, aims to protect horticultural farmers from market price fluctuations and compensate them if they receive low prices for their produce in the market.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Bhed Palan Yojana,bpy,"The scheme aims to promote sheep rearing as a source of self-employment and livelihood generation for eligible beneficiaries, particularly from SECC categories, by providing financial support for rearing a sheep unit.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Bhesaj Krishi Vikas Yojana (Herbal Cultivation Programme),bkvyhcp,"The scheme aims to promote the cultivation of medicinal and herbal plants (Jadi-Buti) among local farmers and unemployed youth, providing sustainable employment and improving their economic well-being.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Bhraman - Darshan Yojana,bdy,"The ""Bhraman-Darshan Yojana"" was launched by the Animal and Fisheries Resources Department, Government of Bihar aims to educate fish farmers in Bihar about the latest fisheries techniques through organized excursions, enabling them to adopt and implement these technologies in their water source.....",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Bihar Rajya Fasal Sahayata Yojna,brfsy,"The scheme strives to back the farmers with financial incentives in the event of a crop loss due to natural calamities.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Bio Control Laboratory and Pesticides Testing Laboratory Scheme,bclptls,"The objective is the production of Bio Control Agents such as Trichoderma, Trichogramma, etc., and further distribution to farmers as awareness and demonstration for organic Plant Health Management in order to promote organic crop production.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Birsa Harit Gram Yojana,bhgy,"The ""Birsa Harit Gram Yojana"" by the Rural Development Department, Government of Jharkhand, promotes afforestation while generating sustainable livelihoods. It supports SC, ST, and landless families through plantation activities under MGNREGA, ensuring income and environmental sustainability. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Breed Multiplication Farm Entrepreneurship,bmfe,At present entrepreneurs/farmers interested in taking up dairy programmes are facing difficulties in sourcing disease-free high-yielding heifers or cows and farmers are dependent on either middlemen or other farmers maintaining dairy animals for sourcing their requirement of dairy animals. ,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Breed Multiplication Farms - Uttarakhand Livestock Development Board,bmf,The scheme aims to facilitate the establishment of Breed Multiplication Farms (BMFs) for making available High Genetic Merit heifers of cattle and buffaloes breeds to farmers.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Buffalo Entrepreneurship Development Scheme,beds,"The ""Buffalo Entrepreneurship Development Scheme"" aims to enhance livestock productivity, especially among marginalized farmers in Odisha. This scheme seeks to address protein deficiency, boost nutritional status, & promote livelihood through dairy farming. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Capital Subsidy Scheme for Setting Up Solar Plant in Milk Cooperatives in Gujarat State (Tribal Area),csssspg,"The scheme aims to promote renewable energy and reduce electricity expenses. Through this scheme, a 75% subsidy is provided for setting up solar plants (1KW to 40KW) in milk cooperative societies in tribal areas.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Central Assistance For One Time Settlement Of Displaced Families From PoK And Chhamb Under Prime Minister's Development Package,otsdfpc,"A relief and rehabilitation scheme by the Ministry of Home Affairs provides central assistance to the displaced families from PoK And Chhamb and settled in the state of Jammu & Kashmir. The amount of Central Assistance of Rs. 5,49,692/- per family will be distributed through Direct Benefit Transfer.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Chai Vikas Yojana,cvyb,"The scheme aims to offer subsidies for planting materials, horticultural machinery, and related resources to support tea farmers.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Chief Minister Drought Relief Scheme,cmdrs,"The Chief Minister Drought Relief Scheme aims to provide relief and financial assistance to families affected by drought in designated areas. The scheme ensures financial security, livelihood support, and basic resources for drought-hit communities.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Chief Minister Floriculture Mission,cmfm,"This is a special scheme initiated during 2014-15 aimed at all-round development of floriculture sector in the State which incorporates cultivation, marketing, training etc. For the year 2015- 16 cultivation of Gerbera under Shade net house with tissue cultured planting materials is proposed.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Chief Minister’s Agriculture Mechanisation Programme,cmamp,The scheme “Chief Minister’s Agriculture Mechanisation Programme” was started by the government of Arunachal Pradesh to promote mechanization & hiring services for various agriculture Machinery/ Implements of post-harvest technology (PHY) equipment applied for different operations.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Chief Minister Samagra Gramya Unnayan Yojana,cmsguy,"A 5-year mega-mission called Chief Minister Samagra Gramya Unnayan Yojana (CMSGUY) was launched in the Financial Year(FY) 2016-17, which is scheduled to culminate in the FY 2021-22, coinciding with 75 years of India's Independence.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Chief Minister's Krishi Rinn Yojana,cmkry,The Government of Arunachal Pradesh has introduced The Chief Minister's Krishi Rinn Yojana (CMKRY) with the aim of providing a zero interest crop loan facility to farmers of the state to enable them easy access to formal credit through banking channels.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Chief Minister’s Krishi Samuh Yojana,cmksy,The Govt. of Arunachal Pradesh started the scheme “Chief Minister’s Krishi Samuh Yojana (CMKSY)” to empower the farmers through a cooperative approach by Institutionalisation of Farmers’ Producers’ Organisation and infusing timely support of good agriculture practices and marketing interventions.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Chief Minister’s Shasakt Kisan Yojana,cm-sky,"The Govt. of Arunachal Pradesh started the scheme “Chief Minister’s Shasakt Kisan Yojana (CM-SKY)” for uplifting the status of women, marginal and small farmers of the State for self-employment generation & commercialization of Horticulture activities to double their income.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Chief Ministers Special Rural Development Fund (CMSRDF),cmsrdf,The primary objective of the program is to generate wage employment and creation of socially and economically useful public assets by involving peoples participation at the grassroots level. The schemes undertaken in the program are varied in nature and are selected by the MLA and NGOs. ,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Chief Minister Sustainable Agriculture Irrigation Scheme - Magel Tyala Shettale (Individual Farm Pond),chief-minister-sustainable-agriculture-irrigation-scheme,Under this scheme subsidy payable to individual farmer is minimum Rs.14433/- and maximum Rs.75000/- depending on the size of the farm pond.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Chief Minister’s White Revolutions Scheme,cmwrs,The CMWRS is a scheme aimed at boosting milk production and rejuvenating cooperative systems in five potential districts of Arunachal Pradesh. It targets 200 dairy farmers in a cooperative model to create subsistence means of livelihood for poor farmers and enhance organic agricultural productivity.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Cluster Mei Bagwani Ki Yojana,cmbky,"The scheme aims to promote cluster-based cultivation of selected crops, including guava, amla, lemon, bael, lemongrass, papaya, marigold, dragon fruit, and strawberry.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Cluster Mei Bagwani Ki Yojana-II,cmbkyii,"The scheme aims to promote cluster-based cultivation of selected crops, including guava, amla, lemon, bael, lemongrass, papaya, marigold, dragon fruit, and strawberry.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Cluster Nutritional Kitchen Garden Scheme,cnkgs,The Cluster Nutritional Kitchen Garden Scheme (CNKGS) is an initiative launched by the government of Arunachal Pradesh to promote self-sufficiency and improve nutritional needs by encouraging the establishment of kitchen gardens.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Coconut Development Scheme,cdsg,"The ""Coconut Development Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to support farmers by providing quality coconut saplings and financial assistance for coconut cultivation. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Coconut Palm Insurance Scheme,cpis,"The “Coconut Palm Insurance Scheme (CPIS)” is being implemented by the Coconut Development Board, Ministry of Agriculture and Farmers Welfare, Government of India with the objective of insuring coconut palms against natural calamities, climatic risks, pests, diseases, and other perils. ",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Coffee Development Programme in North Eastern Region: Consolidation of Coffee,cdpnercc,"The scheme ""Consolidation of Coffee"" aims to increase the productivity of the existing coffee holdings by gap filling or rejuvenation, followed by improved cultivation methods such as application of compost, bush management, shade management, pest and disease control, etc.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Coffee Development Programme in North Eastern Region: Expansion of Coffee,cdpnerec,"The scheme ""Coffee Development Programme in North Eastern Region: Expansion of Coffee"" by the Coffee Board, Department of Commerce, Ministry of Commerce and Industry, aims to facilitate afforestation in the Jhum lands and help settle the tribals on a permanent footing.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Drying Yards,cdpnerqucdy,"The scheme ""Quality Upgradation / Certification: Drying Yards"" aims to facilitate the improvement of the quality of coffee produced by growers by encouraging them to establish infrastructure for quality enhancement and obtain certification for their coffees, enabling them to earn better returns. ",,,,,,central,active,myscheme,,,,,,,,,f,,,,
